"United Nations, Department of Economic and Social Affairs",,,,,,,,,,,,,,,,,,,,,
"Population Division, Fertility and Family Planning Section",,,,,,,,,,,,,,,,,,,,,
"World Fertility Data 2012
AGE-SPECIFIC FERTILITY RATES, TOTAL FERTILITY AND MEAN AGE AT CHILDBEARING
Malta,470,Around 1985,1985,,1.93,12,84,140,95,44,11,0,28.9,Registration,UNSD,,,,,,
Malta,470,Around 1995,1995,,1.82,10,68,143,97,37,8,0,29.0,Registration,UNSD,,,,,,
Malta,470,Around 2005,2005,,1.38,16,45,97,83,27,6,0,28.9,Registration,UNSD,,Data pertain to nationals of the country.,,,,
Malta,470,Latest,2010,,1.35,18,37,84,83,42,5,0,29.5,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Marshall Islands,584,Around 1970,1973,,8.43,126,322,380,374,284,130,70,30.6,Census,National statistics,,,,,,
Marshall Islands,584,Around 1985,1985,,5.34,126,348,242,192,118,37,5,27.3,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Marshall Islands,584,Around 1995,1995,,3.93,105,249,216,135,57,22,1,26.6,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Marshall Islands,584,Around 2005,2005,,3.74,108,230,211,117,61,18,3,26.6,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Marshall Islands,584,Latest,2006,,3.73,105,223,229,116,58,13,2,26.5,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Martinique,474,Around 1970,1970,,4.39,58,191,232,191,130,68,7,29.6,Registration,UNSD,,,,,,
Martinique,474,Around 1985,1985,,2.14,27,97,144,101,46,12,1,28.5,Registration,UNSD,,,,,,
Martinique,474,Around 1995,1995,,1.82,14,74,107,105,50,8,,29.3,Registration,National statistics,,,,,,
Martinique,474,Around 2005,2004,,1.93,21,61,116,107,62,17,1,29.9,Registration,National statistics,,,,,,
Martinique,474,Latest,2007,,1.99,20,71,117,103,65,21,1,29.9,Registration,UNSD,,,,Excluding live-born infants who died before their birth was registered.,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Mauritania,478,..,1976,1976-1977,6.69,118,260,316,294,219,98,32,30.0,Census,National statistics,,"Data pertain to nomad population only, estimated at 36,3 per cent of the total population in 1977.",,Adjusted estimate.,,
Mauritania,478,Around 1985,1989,1987-1991,5.01,81,172,213,207,164,98,68,31.3,Survey,PAPCHILD,Mauritania 1990-1991 Maternal and Child Health Survey,,,,,
Mauritania,478,Around 1995,1999,1998-2001,4.49,79,167,207,194,142,81,27,30.3,Survey,DHS,Mauritania 2000-2001 Demographic and Health Survey,,,,,
Mauritania,478,Around 2005,2000,,4.31,61,143,184,181,147,90,56,31.6,Census,National statistics,,,,,,
Mauritania,478,Latest,2001,1999-2004,4.59,88,168,191,188,146,94,43,30.7,Survey,DHS,Mauritania 2003-2004 Enquête sur la mortalité infantile et le paludisme,,,,,
Mauritius,480,Around 1970,1970,,3.83,59,192,210,147,114,38,5,28.8,Registration,National statistics,,,,,,
Mauritius,480,Around 1985,1983,1981-1985,2.28,43,137,130,85,45,14,2,27.5,Registration,UN-ECA,,,,,,
Mauritius,480,Around 1995,1995,,2.13,39,135,130,81,34,8,0,27.1,Registration,UNSD,,,,,,
Mauritius,480,Around 2005,2005,,1.81,32,113,109,70,30,8,0,27.2,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Mauritius,480,Latest,2010,,1.46,30,79,91,60,26,7,0,27.4,Registration,UNSD,,,,,,
Mayotte,175,..,1978,1977-1978,7.93,190,381,378,294,222,97,24,28.6,Census,National statistics,,,,,,
Mayotte,175,Around 1985,1985,1984-1985,6.70,..,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Mayotte,175,Around 1995,1996,,5.52,117,249,247,213,151,93,33,29.5,Registration,National statistics,,,,,,
Mayotte,175,Around 2005,2002,,4.66,108,223,226,182,130,51,12,28.6,Registration,National statistics,,,,,,
Mayotte,175,Latest,2004,,4.44,106,204,211,177,128,53,10,28.7,Registration,National statistics,,,,,,
Mexico,484,Around 1970,1970,,6.56,92,287,315,257,218,144,0,30.0,Registration,UNSD,,,,,,
Mexico,484,Around 1985,1985,,4.60,95,244,232,167,118,50,14,28.4,Registration,UNSD,,,,,,
Mexico,484,Around 1995,1995,,3.26,85,172,166,124,71,27,8,27.8,Registration,UNSD,,,,,,
Mexico,484,Around 2005,2005,,2.77,84,160,141,98,52,16,2,26.9,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Mexico,484,Latest,2008,,2.77,87,160,143,99,50,15,2,26.7,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Micronesia (Federated States of),583,Around 1970,1973,,7.17,78,288,369,331,232,116,20,30.2,Census,National statistics,,,,,,
Micronesia (Federated States of),583,Around 1985,1980,,6.19,57,222,281,260,224,131,64,31.6,Census,National statistics,,,,,,
Micronesia (Federated States of),583,Around 1995,1994,,4.04,47,154,188,177,133,79,29,30.9,Census,National statistics,,,,,,
Micronesia (Federated States of),583,Around 2005,2003,,3.11,52,126,181,127,91,41,5,29.3,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Micronesia (Federated States of),583,Latest,2003,,3.11,52,126,181,127,91,41,5,29.3,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Mongolia,496,Around 1970,1973,,7.49,83,202,364,368,300,137,44,31.5,Census,National statistics,,,,,,
Mongolia,496,Around 1985,1985,,5.48,35,265,349,213,132,75,26,29.7,Registration,National statistics,,,,,,
Mongolia,496,Around 1995,1995,,2.65,31,182,152,88,50,21,7,27.8,Registration,UNSD,,,,,,
Mongolia,496,Around 2005,2005,,1.96,15,110,123,84,43,12,4,28.5,Registration,UNSD,,,,,,
Mongolia,496,Latest,2008,,2.59,19,141,161,114,64,17,2,28.7,Registration,UNSD,,,,,,
Montenegro,499,Around 1970,1970,,2.60,28,159,151,104,54,19,4,28.1,Registration,National statistics,,,,,,
Montenegro,499,Around 1985,1985,,2.12,31,133,134,81,36,8,0,27.3,Registration,National statistics,,,,,,
Montenegro,499,Around 1995,1990,,1.79,19,105,111,77,36,10,0,28.0,Registration,National statistics,,,,,,
Montenegro,499,Around 2005,2005,,1.60,16,80,106,76,34,8,1,28.4,Registration,National statistics,,,,,,
Montenegro,499,Latest,2009,,1.85,23,87,119,89,43,8,1,28.5,Registration,UNSD,,,,,,
Montserrat,500,..,1977,1975-1979,2.35,..,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Montserrat,500,Around 1985,1985,,2.26,100,131,106,79,25,7,4,25.7,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Montserrat,500,Around 1995,1995,,1.56,51,72,70,55,37,28,0,28.1,Registration,UNSD,,,,,,
Montserrat,500,Around 2005,2003,,1.61,46,63,102,83,22,7,0,27.4,Registration,CARICOM,,,,,,
Montserrat,500,Latest,2004,,1.76,54,46,94,78,52,27,0,29.1,Registration,CARICOM,,,,,,
Morocco,504,Around 1970,1971,,6.88,66,296,365,304,220,93,33,30.1,Survey,National statistics,Morocco 1972-1973 Recording of Births and Deaths,,,,,
Morocco,504,Around 1985,1985,1984-1987,4.64,46,170,227,200,166,80,40,31.1,Survey,DHS,Morocco 1987 Demographic and Health Survey,,,,,
Morocco,504,Around 1995,1993,1992-1995,3.30,35,125,138,146,117,82,18,31.3,Survey,DHS,Morocco 1995 Enquête de panel sur la population et la santé,,,,,
Morocco,504,Around 2005,2002,2000-2003,2.48,32,104,124,125,78,28,5,29.7,Survey,DHS,Morocco 2003-2004 Demographic and Health Survey,,,,,
Morocco,504,Latest,2008,2006-2011,2.60,32,106,133,117,83,40,8,30.1,Survey,National statistics,Morocco 2011 Enquête Nationale sur la Population et la Santé Familiale,,,,,
Mozambique,508,Around 1970,1970,1969-1970,6.70,133,294,271,235,196,140,71,30.4,Census,National statistics,,,,,,
Mozambique,508,Around 1985,1980,1975-1980,6.49,131,307,279,196,177,159,49,30.0,Census,National statistics,,,,,,
Mozambique,508,Around 1995,1995,1994-1997,5.16,171,234,233,169,105,94,27,28.4,Survey,DHS,Mozambique 1997 Demographic and Health Survey,,,,,
Mozambique,508,Around 2005,2002,2001-2004,5.54,179,246,226,191,148,75,43,28.8,Survey,DHS,Mozambique 2003 Demographic and Health Survey,,,,,
Mozambique,508,Latest,2010,2008-2011,5.92,167,264,251,214,168,84,36,29.0,Survey,DHS,Mozambique 2011 Demographic and Health Survey,,,Preliminary data.,,
Myanmar,104,Around 1970,1973,,5.70,..,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Myanmar,104,Around 1985,1989,1986-1991,3.52,43,141,175,154,117,59,14,30.3,Survey,National statistics,Myanmar 1991 Population Change and Fertility Survey,,,"Births to ever-married women, recalculated to all women irrespective of marital status.",,
Myanmar,104,Around 1995,1995,1994-1997,2.83,28,106,141,128,91,66,6,30.8,Survey,National statistics,Myanmar 1997 Fertility and Reproductive Health Survey,,,,,
Myanmar,104,Around 2005,2005,2003-2006,1.85,18,68,97,90,67,28,4,30.4,Survey,National statistics,Myanmar  2007  Fertility and Reproductive Health Survey,,,,,
Myanmar,104,Latest,2006,,1.90,17,67,98,97,65,30,6,30.7,Survey,National statistics,Myanmar  2007  Fertility and Reproductive Health Survey,,,,,
Namibia,516,Around 1985,1988,1986-1989,5.22,185,254,218,184,132,71,..,27.7,Survey,National statistics,Namibia 1989 Southern African Demographic and Health Survey,,,Estimates based on the own-children method.,,
Namibia,516,..,1991,1989-1992,5.36,109,207,241,208,166,105,37,30.2,Survey,DHS,Namibia 1992 Demographic and Health Survey,,,,,
Namibia,516,Around 1995,1999,1997-2000,4.18,88,166,176,160,137,71,38,30.2,Survey,DHS,Namibia 2000 Demographic and Health Survey,,,,,
Namibia,516,Around 2005,2001,,3.22,50,134,143,135,102,59,22,30.3,Census,UNSD,,,,,,
Namibia,516,Latest,2005,2003-2006,3.56,78,169,159,145,110,44,8,28.9,Survey,DHS,Namibia 2006-2007 Demographic and Health Survey,,,,,
Nauru,520,Around 1970,1968,,5.18,65,204,292,221,199,38,17,29.8,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Nauru,520,..,1992,,3.87,70,202,270,124,84,25,..,27.7,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Nauru,520,Around 1995,1995,,3.55,82,190,178,146,104,9,..,27.7,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Nauru,520,Around 2005,2002,,3.82,113,271,213,109,44,13,..,25.8,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Nauru,520,Latest,2005,2003-2007,3.36,69,200,155,141,56,50,..,28.0,Survey,National statistics,Nauru 2007 Demographic Health Survey (national),,,,,
Nepal,524,Around 1970,1971,1970-1971,6.30,75,268,310,261,196,109,43,30.4,Census,National statistics,,,,,,
Nepal,524,Around 1985,1985,1983-1986,5.11,99,261,230,200,114,68,49,29.3,Survey,National statistics,Nepal 1986 Fertility and Family Planning Survey,,,,,
Nepal,524,Around 1995,1994,1993-1996,4.64,127,266,229,160,94,37,15,27.5,Survey,DHS,Nepal 1996 Demographic and Health Survey,,,,,
Nepal,524,Around 2005,2004,2003-2006,3.13,98,234,144,84,48,16,2,26.0,Survey,DHS,Nepal 2006 Demographic and Health Survey,,,,,
Nepal,524,Latest,2009,2008-2011,2.60,81,187,126,71,36,14,5,26.1,Survey,DHS,Nepal 2011 Demographic and Health Survey,,,,,
Netherlands,528,Around 1970,1970,,2.58,23,137,185,108,49,14,1,28.2,Registration,UNSD,,,,,,
Netherlands,528,Around 1985,1985,,1.51,7,61,131,81,19,3,0,28.4,Registration,UNSD,,,,,,
Netherlands,528,Around 1995,1995,,1.54,6,39,106,113,39,5,0,30.0,Registration,UNSD,,,,,,
Netherlands,528,Around 2005,2005,,1.68,4,35,99,125,62,10,0,31.0,Registration,UNSD,,,,,,
Netherlands,528,Latest,2010,,1.81,5,39,115,136,57,9,0,30.7,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Netherlands Antilles,530,Around 1970,1971,,3.08,49,151,169,130,83,30,4,28.7,Registration,UNSD,,,,,,
Netherlands Antilles,530,Around 1985,1989,,2.25,43,116,136,92,52,10,0,27.8,Registration,UNSD,,,,Unrevised data.,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Netherlands Antilles,530,Around 1995,1991,,2.31,49,122,123,109,49,10,0,27.7,Registration,UNSD,,,,Unrevised data.,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Netherlands Antilles,530,Around 2005,2004,,1.86,41,96,104,81,42,10,0,27.7,Registration,UNSD,,,,,,
Netherlands Antilles,530,Latest,2007,,1.87,34,88,104,83,51,12,1,28.4,Registration,UNSD,,Data pertain to resident population only.,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
New Caledonia,540,Around 1970,1970,,5.29,127,311,243,180,126,62,8,27.9,Registration,UNSD,,,,,,
New Caledonia,540,Around 1985,1985,,2.92,46,169,162,114,63,26,4,28.1,Registration,National statistics,,,,,,
New Caledonia,540,Around 1995,1995,,2.56,33,132,164,116,54,11,1,28.1,Registration,National statistics,,,,,,
New Caledonia,540,Around 2005,2005,,2.20,21,106,129,106,60,17,1,29.0,Registration,National statistics,,,,,,
New Caledonia,540,Latest,2007,,2.19,20,92,134,113,62,16,1,29.3,Registration,National statistics,,,,,,
New Zealand,554,Around 1970,1970,,3.15,62,209,200,100,45,12,1,26.7,Registration,UNSD,,,,,,
New Zealand,554,Around 1985,1985,,1.92,29,104,145,79,22,4,0,27.2,Registration,UNSD,,,,,,
New Zealand,554,Around 1995,1995,,1.98,33,83,123,106,44,7,0,28.3,Registration,National statistics,,,,,,
New Zealand,554,Around 2005,2005,,2.00,27,69,107,120,64,12,1,29.5,Registration,UNSD,,,,,,
New Zealand,554,Latest,2011,,2.06,26,72,105,122,71,15,1,29.8,Registration,UNSD,,,,,,
Nicaragua,558,Around 1970,1971,1970-1971,6.00,101,263,280,241,192,90,33,29.8,Census,National statistics,,,,,,
Nicaragua,558,Around 1985,1983,1980-1985,5.79,182,275,264,208,150,62,17,28.0,Survey,National statistics,Nicaragua 1985-1986 Encuesta Socio-demográfica,,,,,
Nicaragua,558,Around 1995,1997,1995-1998,3.62,130,192,162,122,78,32,9,27.2,Survey,LSMS,Nicaragua 1998-1999 Living Standards Measurement Survey,,,,,
Nicaragua,558,Around 2005,2000,1998-2001,3.23,119,178,145,108,64,26,6,26.9,Survey,DHS,Nicaragua 2001 Demographic and Health Survey,,,,,
Nicaragua,558,Latest,2005,2004-2007,2.70,106,149,128,86,55,14,2,26.4,Survey,RHS,Nicaragua 2006-2007 Reproductive and Health Survey,,,,,
Niger,562,..,1960,,7.09,175,341,306,259,191,99,47,29.0,Survey,National statistics,Niger 1959-1960 Enquête démographique,,,,,
Niger,562,Around 1985,1988,1987-1988,7.50,211,342,343,272,206,87,40,28.6,Census,National statistics,,,,,,
Niger,562,Around 1995,1996,1995-1998,7.20,218,311,308,273,195,97,38,28.7,Survey,DHS,Niger 1998 Demographic and Health Survey,,,,,
Niger,562,Around 2005,2001,,7.07,153,287,306,248,213,132,75,30.2,Census,National statistics,,,,,,
Niger,562,Latest,2004,2003-2006,7.02,199,300,298,267,207,93,39,29.0,Survey,DHS,Niger 2006 Demographic and Health Survey,,,,,
Nigeria,566,Around 1970,1972,1970-1973,7.32,170,355,335,304,181,99,21,28.7,Survey,National statistics,"Nigeria 1971-1973 National Fertility, Family Planning and KAP survey",,,,,
Nigeria,566,Around 1985,1988,1987-1990,6.01,146,258,263,220,159,92,64,29.7,Survey,DHS,Nigeria 1990 Demographic and Health Survey,,,,,
Nigeria,566,Around 2005,2001,2000-2003,5.66,126,229,274,244,168,72,18,29.2,Survey,DHS,Nigeria 2003 Demographic and Health Survey,,,,,
Nigeria,566,Latest,2007,2005-2008,5.72,121,225,265,241,161,87,44,29.8,Survey,DHS,Nigeria 2008 Demographic and Health Survey,,,,,
Niue,570,Around 1970,1969,1967-1971,6.23,100,309,365,278,135,54,5,28.4,Registration,National statistics,,,,,,
Niue,570,Around 1985,1986,,4.85,..,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Niue,570,Around 1995,1994,1991-1997,3.02,35,170,191,112,71,26,0,28.3,Registration,National statistics,,,,,,
Niue,570,Around 2005,2001,,3.04,35,170,137,135,98,20,15,29.2,Census,National statistics,,,,,,
Niue,570,Latest,2009,,2.82,16,143,190,143,32,25,15,29.0,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Northern Mariana Islands,580,Around 1970,1968,,7.75,114,315,442,326,238,115,..,29.5,Registration,National statistics,,,,,,
Northern Mariana Islands,580,Around 1985,1988,1986-1990,4.17,107,234,216,164,88,23,2,27.3,Census,National statistics,,,,Estimates based on the own-children method.,,
Northern Mariana Islands,580,Around 1995,1995,,2.13,78,82,92,99,56,17,2,27.9,Census,National statistics,,,,,,
Northern Mariana Islands,580,Around 2005,2001,,..,70,78,81,61,38,11,..,26.8,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Northern Mariana Islands,580,Latest,2002,,1.56,54,92,68,53,35,10,..,26.8,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Norway,578,Around 1970,1970,,2.50,45,168,148,88,41,10,1,27.0,Registration,UNSD,,,,,,
Norway,578,Around 1985,1985,,1.68,18,94,126,71,23,4,0,27.5,Registration,UNSD,,,,,,
Norway,578,Around 1995,1995,,1.88,14,78,134,104,40,6,0,28.8,Registration,UNSD,,,,,,
Norway,578,Around 2005,2005,,1.84,8,59,124,119,49,9,0,29.8,Registration,UNSD,,,Age classification based on year of birth of mother rather than the exact age of mother at birth of child.,,,
Norway,578,Latest,2010,,1.97,8,61,125,131,57,11,1,30.1,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Oman,512,Around 1985,1987,1984-1989,7.51,128,355,385,328,196,90,21,29.0,Survey,National statistics,Oman 1984-1989 Demographic and Social Survey,Data pertain to nationals of the country.,,,,
Oman,512,Around 1995,1993,1991-1995,7.39,100,293,340,315,231,120,79,30.7,Survey,GFHS,Oman 1995 Family Health Survey,Data pertain to nationals of the country.,,,,
Oman,512,Around 2005,2007,,2.59,8,75,140,136,99,45,14,31.7,Registration,National statistics,,Data refer to total population.,,,,
Oman,512,Latest,2010,,2.97,12,105,170,156,100,42,10,30.8,Registration,National statistics,,Data refer to total population.,,,,
Pakistan,586,Around 1970,1973,1970-1975,6.27,104,266,314,264,204,93,8,29.5,Survey,National statistics,Pakistan 1975 World Fertility Survey,Adjusted estimate.,,,,
Pakistan,586,Around 1985,1985,,7.01,59,273,351,327,235,109,48,30.8,Survey,National statistics,Pakistan 1985 Demographic Survey,,,,,
Pakistan,586,Around 1995,1996,,5.48,55,258,296,255,143,66,23,29.6,Survey,National statistics,Pakistan 1996 Demographic Survey,,,,,
Pakistan,586,Around 2005,2005,,3.79,20,158,226,180,107,50,18,30.3,Survey,National statistics,Pakistan 2005 Demographic Survey,,,,,
Pakistan,586,Latest,2007,,3.69,16,150,225,173,103,53,18,30.4,Survey,National statistics,Pakistan 2007 Demographic Survey,,,,,
Palau,585,Around 1970,1971,1969-1973,6.52,77,216,297,258,237,145,73,31.7,Census,National statistics,,,,Estimates based on the own-children method.,,
Palau,585,Around 1985,1980,1979-1980,3.05,56,167,117,117,54,41,57,29.9,Census,National statistics,,,,,,
Palau,585,Around 1995,1995,,2.83,79,135,134,121,84,11,3,27.9,Registration,UNSD,,,,,,
Palau,585,Around 2005,2004,,1.91,24,114,105,75,44,19,0,28.3,Registration,National statistics,,,,,,
Palau,585,Latest,2005,,2.02,31,117,87,93,48,25,3,28.7,Registration,National statistics,,,,,,
Panama,591,Around 1970,1970,,5.07,132,275,247,184,123,44,9,27.8,Registration,UNSD,,,,,,
Panama,591,Around 1985,1985,,3.20,98,185,163,105,61,22,5,27.0,Registration,UNSD,,,,,,
Panama,591,Around 1995,1995,,2.72,94,150,133,101,48,15,3,26.7,Registration,UNSD,,,,,,
Panama,591,Around 2005,2005,,2.39,84,136,115,82,45,14,1,26.6,Registration,National statistics,,,,,,
Panama,591,Latest,2010,,2.40,86,133,117,85,45,12,1,26.6,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Papua New Guinea,598,Around 1970,1970,,7.11,78,316,327,291,224,127,59,30.6,Census,National statistics,,,,,,
Papua New Guinea,598,..,1979,,5.94,87,258,283,233,168,97,63,30.4,Survey,National statistics,Papua New Guinea 1979-1980 Demographic Survey,,,,,
Papua New Guinea,598,Around 1995,1994,1992-1997,4.84,77,229,234,189,122,82,35,29.8,Survey,National statistics,Papua New Guinea 1996 Demographic and Health Survey (national),,,,,
Papua New Guinea,598,Around 2005,2000,,4.55,70,188,205,176,134,90,48,30.7,Census,National statistics,,,,,,
Papua New Guinea,598,Latest,2004,2001-2006,4.38,65,209,208,177,127,60,31,29.8,Survey,National statistics,Papua New Guinea 2006 Demographic and Health Survey (national),,,,,
Paraguay,600,Around 1970,1972,1971-1972,5.86,63,228,273,253,210,117,28,30.8,Census,National statistics,,,,,,
Paraguay,600,Around 1985,1988,1987-1990,4.71,97,209,214,196,142,71,13,29.3,Survey,DHS,Paraguay 1990 Demographic and Health Survey,,,,,
Paraguay,600,Around 1995,1997,1995-1998,4.34,87,216,214,167,132,37,15,28.7,Survey,National statistics,Paraguay 1977 Encuesta Demográfica Nacional,,,,,
Paraguay,600,Around 2005,2003,2001-2004,2.92,65,150,142,122,69,36,..,28.3,Survey,RHS,Paraguay 2004 Encuesta Nacional de Demografía y Salud Sexual y Reproductiva,,,,,
Paraguay,600,Latest,2007,2005-2008,2.46,63,120,133,97,49,30,..,27.9,Survey,RHS,Paraguay 2008 Encuesta Nacional de Demografía y Salud Sexual y Reproductiva,,,,,
Peru,604,Around 1970,1969,1968-1969,6.18,87,255,324,273,176,76,45,29.9,Survey,National statistics,Peru 1969 Estudio sobre la Población Peruana,,,,,
Peru,604,Around 1985,1985,1983-1986,4.12,79,184,199,161,122,64,14,29.4,Survey,DHS,Peru 1986 Demographic and Health Survey,,,,,
Peru,604,Around 1995,1995,1993-1996,3.53,75,179,162,140,99,44,7,28.7,Survey,DHS,Peru 1996 Demographic and Health Survey,,,,,
Peru,604,Around 2005,2006,2005-2008,2.50,63,122,122,99,64,27,4,28.3,Survey,DHS,Peru 2007-2008 Demographic and Health Survey (Continuous),,,,,
Peru,604,Latest,2008,2007-2010,2.58,61,124,124,108,72,25,3,28.4,Survey,DHS,Peru 2010 Demographic and Health Survey (Continuous),,,,,
Philippines,608,Around 1970,1968,1966-1971,5.89,56,227,302,272,199,100,22,30.6,Survey,National statistics,Philippines 1973 National Demographic Survey,,,,,
Philippines,608,Around 1985,1985,1983-1986,4.42,48,192,229,198,140,62,15,30.0,Survey,CPS,Philippines 1986 Contraceptive Prevalence Survey,,,,,
Philippines,608,Around 1995,1996,1995-1998,3.73,46,177,210,155,111,40,7,29.2,Survey,DHS,Philippines 1998 Demographic and Health Survey,,,,,
Philippines,608,Around 2005,2002,2000-2003,3.54,53,178,191,142,95,43,5,28.9,Survey,DHS,Philippines 2003 Demographic and Health Survey,,,,,
Philippines,608,Latest,2007,2005-2008,3.26,54,163,172,136,84,38,6,28.8,Survey,DHS,Philippines 2008 Demographic and Health Survey,,,,,
Poland,616,Around 1970,1970,,2.23,30,162,132,73,37,11,1,27.1,Registration,UNSD,,,,,,
Poland,616,Around 1985,1985,,2.33,35,183,141,70,30,7,0,26.4,Registration,UNSD,,,,,,
Poland,616,Around 1995,1995,,1.61,22,113,104,54,23,6,0,26.9,Registration,UNSD,,,,,,
Poland,616,Around 2005,2005,,1.15,12,54,84,54,21,4,0,28.2,Registration,UNSD,,,,,,
Poland,616,Latest,2010,,1.38,15,54,94,74,32,6,0,28.8,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Portugal,620,Around 1970,1970,,3.10,31,154,188,128,81,35,3,29.0,Registration,National statistics,,,,,,
Portugal,620,Around 1985,1985,,1.77,34,111,108,62,28,9,1,27.1,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Portugal,620,Around 1995,1995,,1.41,20,63,97,70,25,5,0,28.1,Registration,UNSD,,,,,,
Portugal,620,Around 2005,2005,,1.41,19,48,84,85,38,7,0,29.3,Registration,UNSD,,Data pertain to resident population only.,,,,
Portugal,620,Latest,2009,,1.32,15,44,73,82,42,8,0,29.7,Registration,UNSD,,Data pertain to resident population only.,,,,
Puerto Rico,630,Around 1970,1970,,3.15,72,194,182,103,56,21,3,27.1,Registration,UNSD,,,,,,
Puerto Rico,630,Around 1985,1985,,2.42,65,148,150,82,31,7,1,26.4,Registration,UNSD,,,,,,
Puerto Rico,630,Around 1995,1995,,2.07,75,124,110,71,28,6,..,25.9,Registration,National statistics,,,,,,
Puerto Rico,630,Around 2005,2005,,1.76,61,110,93,58,24,5,0,26.0,Registration,UNSD,,,,,,
Puerto Rico,630,Latest,2008,,1.61,55,106,82,52,23,5,0,25.9,Registration,UNSD,,,,,,
Qatar,634,Around 1985,1985,1983-1987,4.49,43,169,261,215,131,51,27,30.2,Survey,GCHS,Qatar 1987 Child Health Survey,,,,,
Qatar,634,..,1988,,4.56,65,267,284,182,78,29,8,27.8,Registration,UNSD,,,,,,
Qatar,634,Around 1995,1996,,3.24,26,173,201,126,78,34,10,29.0,Registration,UNSD,,,,,,
Qatar,634,Around 2005,2005,,2.52,18,123,139,106,82,32,5,29.8,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Qatar,634,Latest,2010,,2.02,16,85,102,102,67,29,4,30.2,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Republic of Korea,410,Around 1970,1970,,4.27,13,174,298,207,111,43,8,29.8,Census,UNSD,,,,,,
Republic of Korea,410,Around 1985,1985,,1.66,10,119,154,38,8,2,0,26.4,Registration,UNSD,,,,,,
Republic of Korea,410,Around 1995,1996,,1.66,3,58,180,72,16,2,0,28.2,Registration,UNSD,,,,,,
Republic of Korea,410,Around 2005,2005,,1.14,2,19,97,87,20,3,0,30.0,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Republic of Korea,410,Latest,2010,,1.31,2,17,85,119,35,4,0,31.0,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Republic of Moldova,498,Around 1970,1969,,2.56,28,164,135,100,62,21,3,28.2,Registration,Eurostat,,,,,,
